time,file,useWordModel,useTfIdfSimilarity,useSentimentSimilarity,usePageRank,useAggregateClustering,anaphoraResolution,ROUGE-1,ROUGE-2,ROUGE-3,ROUGE-SU4,ROUGE-L
04:38.7,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.5546,0.2786,0.2169,0.2747,0.4991
13:07.3,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.5546,0.2786,0.2169,0.2747,0.4991
21:17.3,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0.5546,0.2786,0.2169,0.2747,0.4991
29:35.3,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.5546,0.2786,0.2169,0.2747,0.4991
41:09.6,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0.4058,0.2071,0.1587,0.1972,0.3858
52:48.4,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0.4195,0.1916,0.1376,0.1873,0.3943
04:39.0,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.3826,0.1546,0.1023,0.1558,0.3571
16:22.7,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.4116,0.1688,0.1114,0.1672,0.3814
24:28.5,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0.556,0.2735,0.2098,0.2696,0.4975
32:33.3,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.556,0.2735,0.2098,0.2696,0.4975
40:39.1,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,0.556,0.2735,0.2098,0.2696,0.4975
48:47.7,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0.556,0.2735,0.2098,0.2696,0.4975
00:47.0,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,0.5242,0.2468,0.1757,0.2378,0.4945
12:50.9,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.5271,0.2635,0.1998,0.257,0.5002
